test	location	operator	alfa	nodeType	precision	station	class	measureType	orig_analyzedSamples	orig_discardedSamples	orig_lowerLimit	orig_maxSamples	orig_meanValue	orig_successful	orig_upperLimit	mut_analyzedSamples	mut_discardedSamples	mut_lowerLimit	mut_maxSamples	mut_meanValue	mut_successful	mut_upperLimit	timeoutMut
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Utilization	819200.0	150	0.0049049643455463246	1000000	0.00500771736835056	true	0.005110470391154796	819200.0	150	0.0049049643455463246	1000000	0.00500771736835056	true	0.005110470391154796	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1		Utilization	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Utilization	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2		Utilization	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Utilization	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01		0.03		Class1	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01		0.03			System Response Time	46080.0	1380	0.23979523278260234	1000000	0.243196358673135	true	0.24659748456366765	46080.0	1380	0.23979523278260234	1000000	0.243196358673135	true	0.24659748456366765	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01		0.03		Class1	System Response Time	46080.0	1380	0.23979523278260234	1000000	0.243196358673135	true	0.24659748456366765	46080.0	1380	0.23979523278260234	1000000	0.243196358673135	true	0.24659748456366765	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS		Utilization	573440.0	225	0.002429281971616123	1000000	0.002487821336332465	true	0.0025463607010488064	573440.0	225	0.002429281971616123	1000000	0.002487821336332465	true	0.0025463607010488064	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Utilization	573440.0	225	0.002429281971616123	1000000	0.002487821336332465	true	0.0025463607010488064	573440.0	225	0.002429281971616123	1000000	0.002487821336332465	true	0.0025463607010488064	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1		Utilization	409600.0	120	0.0058559511443431475	1000000	0.005995319883618931	true	0.006134688622894715	409600.0	120	0.0058559511443431475	1000000	0.005995319883618931	true	0.006134688622894715	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Utilization	409600.0	120	0.0058559511443431475	1000000	0.005995319883618931	true	0.006134688622894715	409600.0	120	0.0058559511443431475	1000000	0.005995319883618931	true	0.006134688622894715	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2		Utilization	163840.0	265	0.0036946512013708173	1000000	0.0037863978851644534	true	0.0038781445689580894	163840.0	265	0.0036946512013708173	1000000	0.0037863978851644534	true	0.0038781445689580894	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Utilization	163840.0	265	0.0036946512013708173	1000000	0.0037863978851644534	true	0.0038781445689580894	163840.0	265	0.0036946512013708173	1000000	0.0037863978851644534	true	0.0038781445689580894	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01		0.03		Class1	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01		0.03			System Response Time	11520.0	580	0.23814216785892894	1000000	0.24549930628680877	true	0.2528564447146886	11520.0	580	0.23814216785892894	1000000	0.24549930628680877	true	0.2528564447146886	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01		0.03		Class1	System Response Time	11520.0	580	0.23814216785892894	1000000	0.24549930628680877	true	0.2528564447146886	11520.0	580	0.23814216785892894	1000000	0.24549930628680877	true	0.2528564447146886	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS		Utilization	409600.0	140	0.001210767399583027	1000000	0.0012473532643032274	true	0.0012839391290234278	409600.0	140	0.001210767399583027	1000000	0.0012473532643032274	true	0.0012839391290234278	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Utilization	409600.0	140	0.001210767399583027	1000000	0.0012473532643032274	true	0.0012839391290234278	409600.0	140	0.001210767399583027	1000000	0.0012473532643032274	true	0.0012839391290234278	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1		Utilization	450560.0	1660	0.0029537226387103457	1000000	0.0030091380267873386	true	0.0030645534148643315	450560.0	1660	0.0029537226387103457	1000000	0.0030091380267873386	true	0.0030645534148643315	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Utilization	450560.0	1660	0.0029537226387103457	1000000	0.0030091380267873386	true	0.0030645534148643315	450560.0	1660	0.0029537226387103457	1000000	0.0030091380267873386	true	0.0030645534148643315	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2		Utilization	163840.0	60	0.0018486618321812277	1000000	0.0018972137185433772	true	0.0019457656049055266	163840.0	60	0.0018486618321812277	1000000	0.0018972137185433772	true	0.0019457656049055266	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Utilization	163840.0	60	0.0018486618321812277	1000000	0.0018972137185433772	true	0.0019457656049055266	163840.0	60	0.0018486618321812277	1000000	0.0018972137185433772	true	0.0019457656049055266	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01		0.03		Class1	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-half	AS1	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01		0.03			System Response Time	30720.0	235	0.23534929013006733	1000000	0.2422481840558466	true	0.2491470779816259	30720.0	235	0.23534929013006733	1000000	0.2422481840558466	true	0.2491470779816259	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01		0.03		Class1	System Response Time	30720.0	235	0.23534929013006733	1000000	0.2422481840558466	true	0.2491470779816259	30720.0	235	0.23534929013006733	1000000	0.2422481840558466	true	0.2491470779816259	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	WS		Utilization	819200.0	150	0.0049049643455463246	1000000	0.00500771736835056	true	0.005110470391154796	819200.0	150	0.0049049643455463246	1000000	0.00500771736835056	true	0.005110470391154796	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Utilization	819200.0	150	0.0049049643455463246	1000000	0.00500771736835056	true	0.005110470391154796	819200.0	150	0.0049049643455463246	1000000	0.00500771736835056	true	0.005110470391154796	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS1		Utilization	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Utilization	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	491520.0	405	0.011760097418194677	1000000	0.012001321429502883	true	0.01224254544081109	false
